order_id,customer_id,customer_name,product_id,product_name,category,amount,city,order_date
1,1778,Nicholas Fuller,501,Dell Laptop,Electronics,1424.12,Ricardomouth,2023-03-28
2,1891,Robert Cunningham,504,Titan Watch,Fashion,2602.99,Matthewberg,2023-12-30
3,1813,Rose Hayes,504,Titan Watch,Fashion,2615.84,East Tammy,2023-03-24
4,1147,Cynthia Hayes,502,Sony Headphones,Accessories,1013.18,Susanberg,2023-09-28
5,1389,Mr. Justin Moore,504,Titan Watch,Fashion,4537.35,West Clifford,2023-10-16
6,1935,Kelsey Ruiz,501,Dell Laptop,Electronics,2577.39,Johnsonville,2023-08-27
7,1269,Danielle Wilson,504,Titan Watch,Fashion,2247.38,Aliciachester,2023-11-02
8,1334,Tammy Mayer,504,Titan Watch,Fashion,2537.51,South Dawnbury,2023-04-10
9,1537,Mikayla Higgins,501,Dell Laptop,Electronics,4210.96,Johnfort,2023-02-16
10,1630,Michelle Johnston,503,Nike Shoes,Fashion,3279.78,West Traci,2023-01-12
11,1464,Margaret Martin,500,iPhone 14,Electronics,682.9,Torresport,2023-10-04
12,1681,Kimberly Patel,503,Nike Shoes,Fashion,3066.46,Port Rachelville,2023-02-11
13,1171,Mario Anderson,503,Nike Shoes,Fashion,772.48,Lake Heather,2023-04-07
14,1263,Randy Lewis,504,Titan Watch,Fashion,2519.49,Port Laurie,2023-12-21
15,1745,Jason Page,500,iPhone 14,Electronics,3829.01,Michelleview,2023-10-31
16,1062,Travis Vasquez,501,Dell Laptop,Electronics,2008.72,Debbiestad,2023-12-29
17,1100,Molly Atkinson,504,Titan Watch,Fashion,2627.5,West Anthonyberg,2023-05-25
18,1256,Robert Lewis Jr.,500,iPhone 14,Electronics,4254.35,Lake Geraldberg,2023-11-10
19,1381,Rose Nunez,503,Nike Shoes,Fashion,3157.31,Alexanderberg,2023-03-08
20,1512,Maria Liu,502,Sony Headphones,Accessories,2464.22,Jermainemouth,2023-09-28
21,1641,Tracy Clark,501,Dell Laptop,Electronics,1115.41,Port Meghan,2023-11-13
22,1358,Lauren James,502,Sony Headphones,Accessories,1947.87,South Kenneth,2023-04-24
23,1827,Tina Wheeler,502,Sony Headphones,Accessories,3075.47,Youngton,2023-07-04
24,1181,Ms. Jennifer Moore,502,Sony Headphones,Accessories,1282.27,Youngtown,2023-06-07
25,1826,Kimberly York,503,Nike Shoes,Fashion,2365.69,Michaelberg,2023-03-25
26,1615,David Young,500,iPhone 14,Electronics,3848.36,South Deborah,2023-04-06
27,1710,Amy Warren,502,Sony Headphones,Accessories,4963.65,Lake Stephanieville,2023-09-16
28,1007,Ashley Coleman,504,Titan Watch,Fashion,4764.38,Codystad,2023-06-28
29,1235,Nicole Smith,500,iPhone 14,Electronics,1271.68,North Kenneth,2023-02-27
30,1604,Randall Pruitt,501,Dell Laptop,Electronics,2441.86,Port Rhonda,2023-06-21
31,1308,Linda Lopez,503,Nike Shoes,Fashion,1203.97,Lake Christopher,2023-04-05
32,1052,Jordan Brown,504,Titan Watch,Fashion,150.98,Lindseymouth,2023-11-24
33,1378,Mark Mora,501,Dell Laptop,Electronics,664.0,Hamptonville,2023-01-05
34,1461,Amber Hicks,503,Nike Shoes,Fashion,2075.37,Ericland,2023-06-20
35,1172,Hayley Ruiz,500,iPhone 14,Electronics,2315.12,South Donaldshire,2023-03-16
36,1303,Michelle Carlson,501,Dell Laptop,Electronics,4574.84,Greenchester,2023-11-13
37,1358,Lauren James,503,Nike Shoes,Fashion,3748.51,South Kenneth,2023-12-02
38,1899,Susan Chandler,504,Titan Watch,Fashion,4108.7,Reeveston,2023-10-11
39,1209,Matthew Cooper,503,Nike Shoes,Fashion,4666.34,Chrisfort,2023-11-29
40,1317,Adam Moody,503,Nike Shoes,Fashion,2674.06,Miguelton,2023-11-28
41,1010,Donna Rivas,502,Sony Headphones,Accessories,2406.01,West Charlesshire,2023-10-05
42,1115,Erik Keller,502,Sony Headphones,Accessories,3450.56,Thomasmouth,2023-05-10
43,1593,Lance Parker,504,Titan Watch,Fashion,3385.68,Port Aaron,2023-10-29
44,1155,Darrell House,500,iPhone 14,Electronics,1712.02,Katherineborough,2023-07-28
45,1515,Marilyn Hernandez,502,Sony Headphones,Accessories,2572.69,New Susanborough,2023-09-29
46,1137,George Holt,504,Titan Watch,Fashion,1989.06,South Michael,2023-09-23
47,1766,Jonathan Ramirez,502,Sony Headphones,Accessories,3716.08,Kariburgh,2023-07-13
48,1200,Laura Haynes,501,Dell Laptop,Electronics,3474.55,Jesseborough,2023-02-28
49,1647,Danny Kennedy,503,Nike Shoes,Fashion,4923.51,West Briana,2023-04-05
50,1311,Stephen Garcia,501,Dell Laptop,Electronics,4777.1,Kennedyfort,2023-08-07
51,1241,Christopher Garcia,501,Dell Laptop,Electronics,1334.85,East Beverly,2023-02-26
52,1882,Jill Spencer,502,Sony Headphones,Accessories,3125.52,West Sarah,2023-10-13
53,1367,Christopher Suarez,502,Sony Headphones,Accessories,875.33,Galvanland,2023-11-13
54,1098,Dawn Brooks,500,iPhone 14,Electronics,2152.45,Jamieton,2023-09-05
55,1158,Richard Peterson,501,Dell Laptop,Electronics,4149.02,East Danaborough,2023-05-16
56,1885,Desiree Jackson,504,Titan Watch,Fashion,914.69,Maryville,2023-05-17
57,1512,Maria Liu,503,Nike Shoes,Fashion,4572.81,Jermainemouth,2023-06-20
58,1236,John Barton,503,Nike Shoes,Fashion,3416.09,East Joshuashire,2023-03-21
59,1830,Amy Gomez,503,Nike Shoes,Fashion,457.65,Ashleyville,2023-04-14
60,1356,Christopher Kennedy,503,Nike Shoes,Fashion,2153.56,Leeport,2023-10-05
61,1892,Nicholas Moore,501,Dell Laptop,Electronics,1467.05,Howardbury,2023-11-12
62,1874,Jessica Davis,504,Titan Watch,Fashion,4903.87,Port Madison,2023-01-28
63,1233,Justin Mays,500,iPhone 14,Electronics,2430.74,Elizabethview,2023-01-17
